true_multi_label,predicted_multi_label
ega,alphafold;arrayexpress;bia;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
interpro,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
biosamples,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
doi,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
bioproject,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
ega,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
reactome,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;omim;orphadata;pdb;pfam;protein_structures;refseq;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
bioproject,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rhea;rnacentral;rrid;treefam;uniparc;uniprot
nct,
protein_structures,alphafold;arrayexpress;bia;biomodels;bioproject;biosamples;biostudies;brenda;cath;cellosaurus;chebi;chembl;complexportal;dbgap;doi;ebisc;efo;ega;emdb;empiar;ena;ensembl;eudract;gca;geo;gisaid;go;hgnc;hipsci;hpa;igsr;intact;interpro;metabolights;metagenomics;mint;nct;omim;orphadata;pdb;pfam;prode;protein_structures;reactome;refseq;refsnp;rfam;rnacentral;rrid;treefam;uniparc;uniprot
