accession_type,source,id
alphafold,MED,37703372
alphafold,MED,35202657
alphafold,MED,37025455
alphafold,MED,37720572
alphafold,MED,37794023
alphafold,MED,35360862
alphafold,MED,37798272
alphafold,MED,37777536
alphafold,MED,35328276
alphafold,MED,37163002
alphafold,MED,37760962
alphafold,MED,37753090
alphafold,MED,37790392
alphafold,MED,37578863
alphafold,MED,37804695
alphafold,MED,37703990
alphafold,MED,36943885
alphafold,MED,36604500
alphafold,MED,37398013
alphafold,MED,37762002
alphafold,MED,35289611
alphafold,MED,37728314
alphafold,MED,37713809
alphafold,MED,36113465
alphafold,MED,37822509
alphafold,MED,37732203
alphafold,MED,37764423
alphafold,PMC,PMC10547965
arrayexpress,MED,16672618
arrayexpress,MED,26279681
arrayexpress,MED,37390985
arrayexpress,MED,20682848
arrayexpress,MED,20122914
arrayexpress,MED,25179828
arrayexpress,MED,23272949
arrayexpress,MED,33920682
arrayexpress,MED,24631284
arrayexpress,MED,31680951
arrayexpress,MED,36217370
arrayexpress,MED,17626183
arrayexpress,MED,18430225
arrayexpress,MED,29628508
arrayexpress,MED,33429951
arrayexpress,MED,19730740
arrayexpress,MED,29062100
arrayexpress,MED,37358411
arrayexpress,MED,17419845
arrayexpress,MED,33968920
arrayexpress,MED,23959314
arrayexpress,MED,28100699
arrayexpress,MED,34465026
arrayexpress,MED,25189217
arrayexpress,MED,32095829
arrayexpress,MED,25311557
arrayexpress,MED,23043101
arrayexpress,MED,32513690
arrayexpress,MED,24260514
arrayexpress,MED,22895281
arrayexpress,MED,24651294
arrayexpress,MED,25387106
arrayexpress,MED,34405268
arrayexpress,MED,22247279
arrayexpress,MED,26618088
arrayexpress,MED,35738899
arrayexpress,MED,27840820
arrayexpress,MED,22348746
arrayexpress,MED,29728652
arrayexpress,MED,36082001
arrayexpress,MED,29515032
arrayexpress,MED,36045611
arrayexpress,MED,19443547
arrayexpress,MED,33853082
arrayexpress,MED,29132313
arrayexpress,MED,29057876
arrayexpress,MED,30837566
arrayexpress,MED,23259405
arrayexpress,MED,22067257
arrayexpress,MED,29945865
arrayexpress,MED,26627594
arrayexpress,MED,28347269
arrayexpress,MED,36299872
arrayexpress,MED,26959975
arrayexpress,MED,27846233
arrayexpress,MED,33333024
arrayexpress,MED,20551175
arrayexpress,MED,33435446
arrayexpress,MED,34420511
arrayexpress,MED,36124658
arrayexpress,MED,29568113
arrayexpress,MED,36179666
arrayexpress,MED,36460000
arrayexpress,MED,19404404
arrayexpress,MED,27558250
arrayexpress,MED,33973014
arrayexpress,MED,28344981
arrayexpress,MED,37715154
arrayexpress,MED,36951086
arrayexpress,MED,33214660
arrayexpress,MED,25299227
arrayexpress,MED,31354687
arrayexpress,MED,28931834
arrayexpress,MED,35022419
arrayexpress,MED,30021984
arrayexpress,MED,27512997
arrayexpress,MED,22991461
arrayexpress,MED,25229469
arrayexpress,MED,33861755
arrayexpress,MED,36313703
arrayexpress,MED,33332401
arrayexpress,MED,20181743
arrayexpress,MED,28452371
arrayexpress,MED,37000619
arrayexpress,MED,24225116
arrayexpress,MED,33811222
arrayexpress,MED,29930244
arrayexpress,MED,29789643
arrayexpress,MED,27401861
arrayexpress,MED,18596959
arrayexpress,MED,30861003
arrayexpress,MED,30355343
arrayexpress,MED,31184599
arrayexpress,MED,26887787
arrayexpress,MED,34908129
arrayexpress,MED,27882918
arrayexpress,MED,27174222
arrayexpress,MED,28515049
arrayexpress,MED,32442239
arrayexpress,MED,29950443
arrayexpress,PMC,PMC3641606
arrayexpress,PMC,PMC3243617
arrayexpress,PMC,PMC9438093
arrayexpress,PMC,PMC3143944
arrayexpress,PMC,PMC9210750
arrayexpress,PMC,PMC5719065
arrayexpress,PMC,PMC3484384
arrayexpress,PMC,PMC6863402
arrayexpress,PMC,PMC10313855
arrayexpress,PMC,PMC9430098
arrayexpress,PMC,PMC7124100
arrayexpress,PMC,PMC3321189
arrayexpress,PMC,PMC2886826
arrayexpress,PMC,PMC7134527
bia,MED,37537341
bia,MED,31209217
bia,MED,36990090
bia,MED,37428210
bia,MED,37082141
bia,MED,37770423
biomodels,MED,36040169
biomodels,MED,23433609
biomodels,MED,33815692
biomodels,MED,34343452
biomodels,MED,35856027
biomodels,MED,20701772
biomodels,MED,21533189
biomodels,MED,35664674
biomodels,MED,33242417
biomodels,MED,28807050
biomodels,MED,18854041
biomodels,MED,22482080
biomodels,MED,35011356
biomodels,MED,27358602
biomodels,MED,27936058
biomodels,MED,26901642
biomodels,MED,21694717
biomodels,MED,28725468
biomodels,MED,32665268
biomodels,MED,21203560
biomodels,MED,23166792
biomodels,MED,35950838
biomodels,MED,19468053
biomodels,MED,31720218
biomodels,MED,28096317
biomodels,MED,18373871
biomodels,MED,30971939
biomodels,MED,32068953
biomodels,MED,29668363
biomodels,MED,34280231
biomodels,MED,18628746
biomodels,MED,21283142
biomodels,MED,27100889
biomodels,MED,34867870
biomodels,MED,26152206
biomodels,MED,30737259
biomodels,MED,31217285
biomodels,MED,29582349
biomodels,MED,23705851
biomodels,MED,26704692
biomodels,MED,26359627
biomodels,MED,35148827
biomodels,MED,24195591
biomodels,MED,32339626
biomodels,MED,21423399
biomodels,MED,20949132
biomodels,MED,25638809
biomodels,MED,37346177
biomodels,MED,26636075
biomodels,MED,19025648
biomodels,MED,25182954
biomodels,MED,27417285
biomodels,MED,24034347
biomodels,MED,29160039
biomodels,MED,23900842
biomodels,MED,30955892
biomodels,MED,27584878
biomodels,MED,25592596
biomodels,MED,22531117
biomodels,MED,24386012
biomodels,MED,29095952
biomodels,MED,37335060
biomodels,MED,21283141
biomodels,MED,22937810
biomodels,MED,34436117
biomodels,MED,37821664
biomodels,MED,28944080
biomodels,MED,23149687
biomodels,MED,36156118
biomodels,MED,27065985
biomodels,MED,23181020
biomodels,MED,26764732
biomodels,MED,17922568
biomodels,MED,25253680
biomodels,MED,20181016
biomodels,MED,30881691
biomodels,MED,33050144
biomodels,MED,21777427
biomodels,MED,37737281
biomodels,MED,28271954
biomodels,MED,23831062
biomodels,MED,30890050
biomodels,MED,21245845
biomodels,MED,30923191
biomodels,MED,37601354
biomodels,MED,30669429
biomodels,MED,31126940
biomodels,MED,23047527
biomodels,MED,32694520
biomodels,MED,36589434
biomodels,MED,32313939
biomodels,MED,24129579
biomodels,MED,30356259
biomodels,MED,33407079
biomodels,MED,34306005
biomodels,MED,21167053
biomodels,MED,20221256
biomodels,MED,28606124
biomodels,MED,24957771
biomodels,MED,24885656
biomodels,PMC,PMC10548086
bioproject,MED,33446604
bioproject,MED,34434666
bioproject,MED,31275304
bioproject,MED,33568531
bioproject,MED,33627662
bioproject,MED,32198176
bioproject,MED,34276621
bioproject,MED,31022987
bioproject,MED,36326287
bioproject,MED,28739597
bioproject,MED,30193099
bioproject,MED,37577401
bioproject,MED,36118204
bioproject,MED,37396365
bioproject,MED,33511433
bioproject,MED,26689587
bioproject,MED,34845251
bioproject,MED,33720357
bioproject,MED,35604211
bioproject,MED,33794735
bioproject,MED,37302809
bioproject,MED,36311778
bioproject,MED,34484131
bioproject,MED,28610557
bioproject,MED,35205912
bioproject,MED,31936409
bioproject,MED,29142045
bioproject,MED,36923594
bioproject,MED,31866960
bioproject,MED,37108095
bioproject,MED,35430624
bioproject,MED,35283819
bioproject,MED,35758757
bioproject,MED,35493735
bioproject,MED,34132592
bioproject,MED,32595641
bioproject,MED,32595684
bioproject,MED,34366591
bioproject,MED,30225176
bioproject,MED,32217681
bioproject,MED,33671014
bioproject,MED,35310664
bioproject,MED,29915104
bioproject,MED,36750860
bioproject,MED,31304040
bioproject,MED,37780495
bioproject,MED,25408893
bioproject,MED,36923131
bioproject,MED,32516314
bioproject,MED,31878242
bioproject,MED,34122425
bioproject,MED,31506265
bioproject,MED,32582656
bioproject,MED,34465340
bioproject,MED,28469600
bioproject,MED,34812649
bioproject,MED,31767740
bioproject,MED,27494615
bioproject,MED,34643222
bioproject,MED,33441660
bioproject,MED,33926116
bioproject,MED,33906412
bioproject,MED,36219871
bioproject,MED,35935938
bioproject,MED,32184986
bioproject,MED,28500040
bioproject,MED,33614280
bioproject,MED,35003165
bioproject,MED,26788738
bioproject,MED,32811432
bioproject,MED,25760332
bioproject,MED,37108890
bioproject,MED,32071819
bioproject,MED,28042953
bioproject,MED,33013723
bioproject,MED,34264101
bioproject,MED,37066369
bioproject,MED,36704571
bioproject,MED,35315699
bioproject,MED,30336790
bioproject,MED,35048114
bioproject,MED,35008057
bioproject,MED,31569754
bioproject,MED,35619648
bioproject,MED,34243706
bioproject,MED,34026018
bioproject,MED,33672159
bioproject,MED,36330821
bioproject,MED,33272992
bioproject,MED,32060100
bioproject,MED,33194446
bioproject,MED,33102455
bioproject,MED,28982794
bioproject,MED,37781033
bioproject,MED,37251303
bioproject,MED,35471554
bioproject,MED,36037171
bioproject,MED,35685002
bioproject,MED,32249287
bioproject,MED,36624504
bioproject,PMC,PMC7164393
bioproject,PMC,PMC9723761
bioproject,PMC,PMC9723753
bioproject,PMC,PMC10570747
